iter	Passed	Remaining
0	2	235
1	3	193
2	5	179
3	6	167
4	8	170
5	10	164
6	12	170
7	14	172
8	16	164
9	17	157
10	18	153
11	20	150
12	21	146
13	23	142
14	24	137
15	25	133
16	27	135
17	28	131
18	29	127
19	30	123
20	31	119
21	33	117
22	34	114
23	35	111
24	36	108
25	36	105
26	37	102
27	38	99
28	39	97
29	40	94
30	41	92
31	43	91
32	44	89
33	44	87
34	45	85
35	46	83
36	47	81
37	48	79
38	49	77
39	50	75
40	50	73
41	51	70
42	52	69
43	53	67
44	54	66
45	54	64
46	55	62
47	56	61
48	58	60
49	59	59
50	60	57
51	61	56
52	61	54
53	62	53
54	63	51
55	64	50
56	64	49
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	80	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	104	3
97	105	2
98	106	1
99	107	0
