iter	Passed	Remaining
0	127	126927
1	129	64668
2	130	43439
3	131	32739
4	132	26311
5	132	22031
6	133	18972
7	134	16677
8	135	14971
9	139	13762
10	142	12773
11	143	11788
12	144	10939
13	145	10213
14	147	9665
15	147	9101
16	148	8601
17	149	8155
18	150	7755
19	154	7564
20	157	7355
21	158	7056
22	159	6780
23	160	6544
24	161	6303
25	162	6080
26	163	5874
27	163	5684
28	164	5515
29	165	5350
30	168	5280
31	171	5187
32	172	5057
33	173	4935
34	174	4818
35	175	4711
36	176	4597
37	177	4496
38	178	4398
39	179	4301
40	179	4207
41	184	4216
42	187	4178
43	188	4099
44	189	4022
45	190	3952
46	191	3883
47	192	3813
48	193	3746
49	193	3681
50	194	3618
51	198	3623
52	201	3600
53	202	3549
54	203	3497
55	204	3443
56	204	3390
57	205	3339
58	206	3291
59	207	3243
60	207	3200
61	208	3158
62	209	3121
63	215	3144
64	216	3111
65	217	3079
66	219	3050
67	220	3019
68	221	2984
69	222	2950
70	222	2917
71	223	2882
72	224	2848
73	229	2873
74	231	2856
75	232	2827
76	233	2797
77	234	2768
78	235	2741
79	235	2712
80	236	2683
81	237	2656
82	237	2625
83	238	2598
84	239	2573
85	242	2575
86	244	2561
87	245	2547
88	246	2526
89	247	2504
90	248	2482
91	249	2466
92	250	2445
93	251	2426
94	252	2408
95	253	2387
96	256	2392
97	259	2385
98	260	2372
99	261	2356
100	262	2336
101	263	2317
102	264	2300
103	264	2282
104	265	2264
105	266	2245
106	267	2229
107	267	2212
108	268	2195
109	271	2193
110	272	2180
111	273	2170
112	278	2186
113	279	2171
114	280	2157
115	281	2141
116	281	2125
117	282	2110
118	283	2095
119	283	2081
120	285	2071
121	286	2064
122	288	2057
123	289	2045
124	290	2031
125	290	2017
126	291	2003
127	292	1989
128	292	1976
129	293	1963
130	293	1950
131	294	1937
132	295	1924
133	295	1912
134	296	1902
135	297	1891
136	298	1880
137	299	1868
138	301	1866
139	302	1857
140	303	1847
141	303	1834
142	304	1823
143	304	1812
144	305	1801
145	306	1790
146	306	1781
147	307	1771
148	308	1761
149	309	1751
150	309	1741
151	310	1731
152	311	1722
153	311	1712
154	312	1703
155	313	1693
156	313	1684
157	314	1674
158	315	1670
159	317	1665
160	317	1655
161	318	1646
162	318	1637
163	319	1628
164	320	1620
165	321	1612
166	321	1604
167	322	1596
168	322	1588
169	323	1579
170	324	1572
171	325	1565
172	325	1557
173	326	1550
174	327	1542
175	328	1535
176	328	1528
177	329	1523
178	330	1517
179	331	1510
180	332	1503
181	333	1497
182	333	1490
183	334	1483
184	335	1476
185	335	1469
186	336	1462
187	337	1455
188	337	1448
189	338	1442
190	339	1436
191	339	1430
192	340	1424
193	341	1417
194	341	1411
195	342	1405
196	343	1398
197	344	1393
198	345	1388
199	346	1384
200	346	1379
201	347	1373
202	348	1368
203	349	1364
204	350	1360
205	351	1356
206	352	1350
207	353	1344
208	353	1338
209	354	1333
210	354	1327
211	355	1321
212	356	1316
213	356	1310
214	357	1305
215	358	1300
216	361	1305
217	362	1300
218	363	1295
219	364	1291
220	365	1286
221	366	1283
222	366	1278
223	367	1274
224	369	1271
225	370	1268
226	371	1265
227	373	1264
228	375	1262
229	376	1259
230	376	1254
231	377	1249
232	378	1245
233	379	1240
234	379	1236
235	380	1231
236	380	1226
237	381	1221
238	382	1217
239	382	1212
240	383	1208
241	384	1205
242	385	1200
243	386	1196
244	386	1192
245	387	1188
246	388	1184
247	390	1183
248	391	1180
249	391	1175
250	392	1171
251	393	1166
252	393	1162
253	394	1158
254	395	1154
255	395	1149
256	396	1146
257	397	1142
258	397	1138
259	398	1134
260	399	1130
261	399	1125
262	400	1121
263	400	1117
264	401	1113
265	402	1110
266	403	1107
267	404	1105
268	406	1103
269	406	1099
270	407	1095
271	407	1091
272	408	1088
273	409	1084
274	410	1081
275	410	1077
276	411	1073
277	411	1069
278	412	1066
279	413	1062
280	414	1059
281	414	1056
282	415	1052
283	416	1049
284	416	1046
285	417	1042
286	418	1038
287	419	1036
288	420	1034
289	421	1031
290	422	1028
291	422	1025
292	423	1022
293	424	1018
294	424	1015
295	425	1012
296	426	1008
297	426	1005
298	427	1002
299	428	999
300	428	996
301	429	992
302	430	990
303	431	987
304	432	984
305	432	981
306	433	978
307	434	976
308	435	974
309	436	971
310	437	968
311	438	966
312	439	963
313	440	961
314	441	960
315	442	957
316	443	954
317	443	951
318	444	948
319	445	945
320	445	942
321	446	939
322	447	937
323	447	934
324	448	931
325	449	930
326	451	928
327	452	926
328	452	923
329	453	921
330	454	918
331	456	918
332	457	917
333	469	935
334	472	938
335	475	939
336	478	941
337	488	956
338	489	955
339	491	954
340	493	953
341	498	958
342	499	957
343	501	956
344	505	960
345	506	958
346	508	956
347	521	976
348	522	974
349	523	972
350	525	971
351	527	970
352	528	967
353	528	965
354	529	962
355	531	960
356	531	958
357	533	956
358	534	953
359	534	951
360	535	948
361	536	946
362	537	943
363	539	942
364	540	940
365	542	939
366	543	936
367	544	934
368	546	934
369	548	933
370	549	931
371	550	928
372	550	926
373	551	923
374	552	920
375	552	917
376	553	914
377	554	912
378	555	910
379	557	909
380	558	906
381	558	904
382	559	901
383	560	899
384	561	896
385	561	893
386	562	891
387	563	888
388	563	885
389	564	883
390	565	880
391	565	877
392	566	874
393	567	872
394	567	869
395	568	867
396	569	865
397	570	863
398	572	862
399	573	859
400	573	857
401	574	854
402	575	852
403	575	849
404	576	846
405	577	844
406	577	842
407	578	839
408	579	836
409	579	834
410	580	832
411	581	829
412	582	827
413	582	824
414	583	822
415	584	819
416	584	817
417	585	815
418	587	814
419	588	812
420	588	809
421	589	807
422	590	804
423	590	802
424	591	799
425	591	797
426	592	795
427	593	792
428	594	790
429	594	788
430	595	786
431	596	783
432	596	781
433	597	779
434	598	777
435	598	774
436	599	772
437	600	771
438	602	769
439	602	767
440	603	764
441	604	762
442	605	760
443	605	758
444	606	756
445	607	754
446	607	751
447	608	749
448	608	747
449	609	744
450	610	742
451	610	740
452	611	738
453	612	736
454	613	734
455	613	732
456	614	730
457	616	729
458	617	727
459	618	725
460	618	723
461	619	721
462	620	719
463	620	717
464	621	714
465	622	713
466	622	710
467	623	708
468	624	706
469	625	704
470	625	702
471	626	700
472	626	698
473	627	696
474	628	694
475	628	692
476	629	690
477	630	688
478	632	687
479	633	685
480	633	683
481	634	682
482	636	680
483	637	679
484	638	677
485	638	675
486	639	673
487	640	671
488	640	669
489	641	667
490	642	665
